vid,score
r3104tdij0j,1
h3127j9lmni,2
u30802kawhb,2
n32197l8842,0
q3125hgpn8w,1
n30808p1ph5,1
z3101bg5pqk,1
z3081rn0ukr,1
s0034z24o1f,1
e3079lh1nfq,2
m3081r7x3tp,2
a3111xaboys,1
i0034u1kejt,1
a0978p9wojq,1
k321922pc2b,1
m003405nolk,1
p09754nmkyb,1
t3101km9gn9,1
a098042em5w,1
a097646pklv,2
d310193fuxy,2
m3110ty2z5e,1
l3139y9trfx,2
d3131pfqc3k,2
j3211s2t985,2
h3219t7k883,0
l3109ormx2m,2
y3115xagsq0,2
d3127peek9h,2
k0975n8vsrt,1
n3152iiapzo,1
y31529mtmy3,1
a0977wzg9c5,1
c31000kn07m,1
l09803o0x4w,1
g3103l0nccz,1
k3219bn0xpa,0
g0975km4qo9,1
d31133ocopq,2
l0978ka1ato,2
s3115deqah2,2
t00341poo33,1
f0034mqv06n,1
t0034k89ch0,1
a314276nlmh,1
q0975c11fxw,2
m3111z0g65l,1
j3219qdihet,1
m0034uzm7zk,1
r31330gfdri,2
n09778tv2zy,1
j3139y5ftoh,2
c312265n7ul,2
y3111k929fs,2
t3103lvh32l,1
n3115vib9o8,2
k3124wcss5l,1
o310129xutc,1
t3219bj515t,0
h3082i3j4fo,2
e0975hyz9ul,1
s31079j87fv,1
y3100gng19s,1
e0975b72ycp,1
w3114ufdgpr,1
j0975piz0rp,2
t0034940mv0,1
q3116toe05p,1
v3106h69bna,2
i3219uybwe0,1
h31080pu0yr,2
o31008porsk,2
n3104ug7lvt,1
i31001g3nw2,2
u3107mgriwc,2
l3123wglgrw,1
a3111q802ka,1
n3122ez16hh,2
g3079dbf7oc,1
g3080sl97jm,2
s32198qkt32,1
s31247o8au5,1
b3105fsft2g,2
f3112btll9k,2
v0975sm5al3,1
n31106ia0gu,2
n31297pb65j,1
a097752cxt9,0
t3082epp6em,2
z3079zf4pb2,2
v31056k5jza,2
k32191nssnb,0
v3124bmjgnz,2
l3109g5r3cc,1
d00341sha4n,1
d0034zbn9sp,1
g3147y8teii,2
k3143akh3lo,2
c0034ubv5p0,1
k3107momfrw,1
v3082uj0xwr,1
q3114enbwrr,1
n3219q80i06,0
t3131pzkucw,1
s3152wir2o9,0
h3106c2zw97,2
h3101j9xcqo,2
m3146j9pg91,2
z31098gwp3k,2
j0975espq9i,2
m0975jmaltq,1
w0034m2lkhv,1
u0034kfzl6s,1
t3219k8s6l0,0
b0977zaffu8,2
v3131wamw3a,2
u3111uf5wx9,2
e3136h4g4ix,2
i09800a9gfc,2
d09788rfkvq,2
b0034wd4xez,0
f0975720hr7,2
u3145flgeqh,2
q09760qhf6z,2
s3219r2xmmj,0
v0034jgc8qt,1
r31058u93ey,2
n0974238919,2
p0034ik4pvu,1
i3079bxsd7n,1
m3081f8rg3a,1
z3108c370lx,1
h31410lct9g,1
u3109mb1yv5,2
z0034cgyfm5,2
l32118gt3rf,0
s1437ax06ot,0
g3139la654b,1
s0034z73zn5,1
w31111izv8l,1
p3103v5phi4,1
l3081b6yuyw,1
g0977d2pywo,1
b3115mcnl3j,1
m3123yfgee7,1
c3121n5knt5,1
j31011yj20d,1
d14373v01q7,0
n3078oaooz1,2
c09808cxsef,1
q3112nwoqee,2
c31058eqd4b,1
k0034mcsin9,1
p3108bczic2,1
n3137q8gp77,1
o30814u78ji,1
q3111lvqvwq,1
h31061xa6ys,1
f3219tl2ll4,1
h3110abhedt,2
k3112d32x2o,2
d3124cliqgc,1
t3078ph4tc2,1
w0980m3jp6o,1
v3120txrr82,1
n3130g06cml,1
l0980r5rwdo,2
y0980lpxbhz,1
o3148sh2soc,2
p32197xos2t,0
m31017uan2u,1
e0034ui74z2,1
o3109br7ik8,2
j3103afanil,2
c31308vczi1,1
i0977fg9pra,2
p0977qf0vwq,1
v0034h22dls,1
l3106k7jg84,2
o32197lmy1c,1
g0034twlxyb,1
j3121m7hgmz,1
i3078ual9ur,2
m0034rded8v,1
l3105v54rqq,2
a09766qzflo,2
a3104ttr2gi,1
r3144sq72sg,2
y314125wop7,1
m3219yc62ej,0
a3102hl1v34,1
z3107t2u08o,2
h3112uc81ml,2
t0034d1xhan,1
v3111u29481,1
i3129ucz7nh,2
z3104ype2ds,2
w3147sl5bax,2
n3110derfyl,2
i3122zpg815,1
h3219nxrv3l,0
z31438z35w8,1
u0980e9xn90,1
l3133ho3a8l,1
u3118nkg49i,1
w31299wza1t,1
m3151diwlj7,2
t3121nxlujb,1
g0034rb1l8m,1
x0975ftcoyq,2
k3143fyn0oa,2
r3219q9ge91,0
i30794b5sda,1
u3145knrgmf,2
m0979y2h9kv,2
n3137434r5p,1
m31150kuidd,2
g3153hn4z8n,2
k310693h722,2
u0980zet23g,2
o3121xy4li1,1
k00349cxp1z,2
h3219in7xem,0
q0978ttj4q7,1
h3110o0p6ek,2
k09784a0bu8,1
d3126am2dl8,1
d3151v3ybr2,2
a3136kh5abd,2
u0034edty2k,1
t0034xko7nq,1
x3144s6tpmt,1
v31432bj480,1
c3219rmjza8,0
n3146amw3m9,2
m3137jlehme,2
v3140rinfiw,1
n3080t5slpn,1
q0034ezlh5y,1
w31168d4zxd,2
u09751n92vs,1
c00345bl17d,1
v3101citx5w,1
i3101vsgfx2,2
q0955g501wa,1
y321988y3gw,0
x0976q9rd36,1
b0976s8ppa4,2
s0034hcm3qg,1
s30799ssxlr,1
s3102bixfva,1
b3135vk0i1u,0
s3136bnuc36,1
y3100ubli56,1
g0034slfq3h,1
u3219feltwo,0
l0034qsci6p,0
k3102zbt778,1
g0034zzeim7,2
v0979l3d8qh,1
k3103v8phdt,1
p0034bjrwh5,1
w3104aqmfzc,2
f0034os1ro9,2
c3108i75z7f,2
n3106q7jxzl,1
z321955n5rq,0
z3078fmipgz,1
x3118jw2g3o,1
f31249t77e5,1
a3101ob78l9,2
x3113ph5jji,1
n003409njk6,1
w3102e3iywe,1
a3143h6m0zs,0
e3109zejarr,1
v3154t695f7,2
t3218ci03i1,0
k3100azmf4b,1
o3109xt70x6,2
i31167sr001,1
r3103kxi048,1
e0976bciq4v,2
t0034hfeoy8,1
a0976mqmmwi,1
f30799e40hm,2
m31164w0pxs,2
m097729e7t7,1
g3219pnshka,0
z30813bvi8x,1
i09754bttst,1
t315054901o,1
j3112cfxpk9,1
m310490wwqs,1
i0034zolx3g,1
i3105ni9hox,1
k312302bbrm,1
u3110hkxcp3,2
q3116y0u0cg,2
x3219xjp55f,0
g0034fdfjug,1
z0976nglrrs,1
l3123c27ojj,1
p0978arcjyx,1
t3141c3afwr,1
a31022z1ye8,2
k3106erv3n1,1
u3103tthkur,2
m31033cvsjb,1
u0978qtbla8,1
d0035lmfuw3,0
v3140651lbz,1
z3109b65hq2,1
v310405xdvn,1
k3103o6hgz6,1
d3109l4l34x,2
y31026vkno8,2
x31046ov5kr,1
v3132u2b01v,1
q31066qyzsy,1
t09790tro6n,2
y3219xwb7vy,1
m0034kvssvx,1
v3117y9d7zu,1
h3109irw4jz,1
n313503mre0,2
s3107gpzh1v,2
f0034b1u5l1,0
c3130eot06z,1
h0976qo7u1m,2
t3116mwvsll,1
h3109adavai,1
c32192ip90o,0
q3145sberki,1
p3105zni4eo,1
d31239763dm,1
i31436c2y3s,2
n0979l7cz9l,2
y3142ugw610,1
f3100dtfy3n,2
e3117cv1pj0,1
r3080c445xa,2
c31179qkxdu,2
g0035258ro3,0
o0034ampny7,2
c3120vorvex,2
h3153ng9qro,1
i3103u7v463,1
z09804hwuc7,1
p3152cjrdk0,1
q3110rcp6zz,2
b31143fjoih,2
x3080iyigao,1
y31431bfmh4,1
q3211a3qc97,0
y3219rzhonz,0
w3100py5m34,2
u0034rtplak,2
n098091lt15,1
b311319ui9v,1
x0980pbpg6x,1
s0978u4rhd9,1
b00345zwczn,1
t3122fes0b6,2
i3078oaviqx,1
e0977d40h3f,1
v3219rzmebz,0
v3120h7716r,1
u0975qrh5lg,2
u3152ozgdrg,1
o0980lpy05j,1
p3111wa0ozt,1
u310359p7ac,2
k3120jxnig2,2
d3109qlfpti,1
f3113tcuttg,2
b3107uf4voj,2
c3219phf8a7,0
g0975v44lyx,2
p308220vsk8,2
m3151b3derq,2
o09770g7lls,2
b3141y9be5u,2
h3111tt48dw,2
m3152d2u4u5,1
n3132a1yjvg,2
y0979n7k3sj,1
i3115loi9zz,2
b3219gpt8ri,0
i3111s52soe,1
b31433en2e8,2
f3111mbtu9t,2
x3114eytpjc,1
w3136fx29k3,1
v3151sxr5y8,1
d31532rfjo3,2
o0034y63nzm,1
v31542ql8id,1
z00346yu49c,2
o3219l7wz23,0
a30829xodj9,2
p3116sdkyzd,1
z0034m39oa9,1
l3139j04dh6,1
a31030y99p3,2
f3118ytkail,2
a3079j7gue5,2
b3137n2j6n2,2
g3116gfsh9o,1
p3111hvqbo6,2
w3219791jdc,0
s00349lb6yx,2
u00349zz4pk,1
u003461p1k2,2
t3147bcpazt,1
v0979o489yo,0
p0034w4gp41,1
u3113y8sia3,1
p0034yj5h4z,2
s0977c32k25,1
v3152nkmbj5,2
p3219t9oeg6,0
w3078qlcg96,2
y310698qqqo,0
e3114x57yxo,1
e3152334ktw,1
m30807nz10q,1
x0034t5kccf,2
b00344vnvvk,1
q0034i8s3wf,1
p3126t6221c,2
a3101ehj4ug,1
l3219fii89g,0
q097764mzdr,1
l3080i4mh7t,1
s3139qr49tj,1
f3124oda891,1
v0976j1ozpc,2
a3107ucua60,1
k3106ejei3q,1
k0034hishrb,1
l3110akov0x,2
v0034895j2n,1
i0978vewezz,2
s0034h3og54,2
u0034wf8u6a,1
o311393wmv9,1
i3104tothjx,2
o3152llrdgl,2
r31525g7263,2
x31388sb4cb,2
b3102zheg5t,2
g0979t4wmwh,1
y3219levr39,0
b3115ekwkv0,2
v3115b7q8as,1
g31114582ec,2
w3113e5dw0d,2
w3153i7qhat,1
w3144q8h08s,1
o3107uy7lmo,2
e3080545a26,2
g00347aeu2v,1
v0979swiqjb,1
j3066peutnn,0
e3219f2dgyo,0
c31187bdxot,2
s0977t2esy0,2
u31476cufg8,2
v3148dk6008,2
i313822im0h,1
a31090pkk85,2
x3126nrp5at,2
r3078em4ghf,1
h3117hc0tf1,2
c3105h5w4jb,2
m3219mx4odu,0
o3119tltf1p,2
w3114epjg16,2
u3080ee7d0t,2
v0978olgk3n,1
v098039736r,2
p3138zj0dvg,1
h3080f38wqq,1
f0034097xre,2
c31181gswz9,1
h3105go849b,2
a3219d6vkhx,0
j0034mnaxeh,1
n3144xj5ynr,1
d09783zrrdx,1
t0034oko3gm,1
z31537zy679,1
l3121a5qocy,2
a3130wuhw7m,2
f3110vsmgc8,1
i0979gs8ayc,1
e3079wotueg,1
l3219soncbh,1
d3134owv278,1
v3102153w27,2
h3127u5moxc,2
r3103836ijm,1
m3124kid6z9,1
m31250my6jn,1
i3079aiyqzh,2
o00344dj5io,1
m3103922vbj,1
r3109p9iruq,1
z321984ujpc,0
d3108e99uxz,2
s3111gq0d0r,2
p09764m9mwg,1
a09799ru3fi,1
w0034vf9fqv,2
z0034ukzkvl,1
r0034atl50s,1
c3110mxednt,1
j31099s92by,1
i30809q9oeq,2
i321980t3r8,0
y31006yn2yd,2
n31148s6p7g,1
x3111gbphc9,1
s097852wfiq,1
u0977taduky,2
d3118co9dra,2
b3148ti5wbw,2
o3147nkdhaj,2
a31114fcgpb,1
e311080i03w,1
h3219kpm5nf,1
p310575ltlg,2
i3135foprl1,2
y3125imysy3,1
u3106qpwwva,1
m0034kx3oif,1
i3106dts3kc,1
t3104shnfbl,1
n31017oumwe,1
i310066kyic,2
g00345kwjvt,1
g3219ywpn3z,0
k0034jw8fgr,2
q0980vyu1gr,2
s3150h8s33a,1
c0034vngojk,1
m0976f880fz,1
t3113qx5yt0,1
t3103hz9sms,2
t3100tshzxh,1
g3136jnyqwd,2
b3078w6tpyz,1
l32198dwit5,0
v3102i730zz,2
h3115j8bhvw,2
x3153550q4d,0
x3100zxmlgg,2
j3108wchk84,2
x0034i1nn4k,2
q3151ka8wy0,1
b3144uozs32,1
d097482qkcl,2
y0034jhxet2,1
i3219c7c2lh,0
c0034ywwic8,1
y3079pmr9sb,0
u09799gruqr,2
g3133s3si45,2
p3080cei6bu,2
h0034qs73tl,1
i3152xvh31u,2
o3142uzadg0,2
g31022cl7mc,1
a3021g0h9l7,0
q32192xfx9y,0
a3152hhd6za,1
i31007rgq80,2
g3135w8wl2s,1
q3078y03wv3,1
r3138y8cu73,2
g0034t85uum,1
l3145cdo9hu,1
o3103oyx6rx,2
h3079fmj5cr,1
d3110gqupzv,1
a321996lkt7,0
e31512dzfck,1
z3115tn9vre,1
v3106exhb0q,2
g310759lmry,1
v3112hlirlp,2
p09798i76te,1
x3115pgpu98,1
d3139pgjm77,1
k31432u6ieo,2
b3121778bof,2
q1437phgxmr,0
r0034dm3vel,1
s3122y0dq9h,2
w0975b9bjpq,1
i3081skjqkm,2
g3137bbyr2n,1
f3117lm3g2o,2
e3100b5dko3,1
j0034vm3bmn,1
p3080gdrcpn,1
n31487q956e,2
h321954ayo1,0
w310155jtah,1
w3102wq303x,2
b3108wysb00,1
g0979vtkhv2,1
e3124wxtex5,1
w310602fafx,1
t31035q8080,1
l3113ohy71k,2
u3081choxa2,1
l3109qeg84w,2
o32194y4hch,0
t3145jzh0f1,2
j3101syla3i,1
x3134kexj0k,1
m0978wgom23,1
c31105srmxi,2
b31258ih68f,2
e3082yf2ug7,1
h30796ftsst,2
b0034rgo5ez,2
x3080ruorn1,1
z32194vj5mn,0
k3143hdp8uc,2
s00347pd50z,0
j314281ddcj,2
i0034wtwbfy,1
a3101j3tvou,1
y3102yj4fjv,1
f31012s9r33,2
f09756mds35,2
i0978q96vgu,1
p3134wng588,2
o32192a6plr,1
x3105lr7uzi,2
p3080asmqj6,2
w3104mpu2nf,2
r3115ec92le,2
v3104vu8gvv,2
p3122go5aff,1
q3080mry9fo,1
u3107qvkg2m,1
t3153izwyga,2
f00348ldn6k,1
u3219umq4n6,0
v3109itb0e8,1
c3141etozvh,2
c00342yiq3j,0
x09784n83y8,2
t3133iusv29,2
b3114baciy1,2
e0034s0fxp7,0
m31036uscjc,1
l00348vz8zt,1
s3100unhriw,2
l3219fhopxz,0
u3138se9jg2,2
y31416v1d72,1
r31080ylgdy,1
v00341ac9yn,2
j31317nwrdv,1
r31501urs4u,2
r3137byx1sl,1
s0034ayh595,1
h31057t3x8f,1
i3219hvs0m4,0
a3114fbu6yd,1
a0977kzo26v,1
h3151tz0yxk,1
b3111kdgp11,1
g3116abfgva,2
g3108cgvb0s,2
w3127ke67s8,2
v31378ywhjm,1
f3082bt0r08,2
j085421z2lb,0
x1437rox892,0
f003460190j,2
a0034dqab6n,1
y0975dropqp,2
f0034gxfc1j,2
y09767xmltw,1
k31189v4i8s,2
t31153vewm9,2
n0034pejc8v,1
o09807rg069,1
o09799d8214,2
p3219tfl0aq,0
s0979d02bx6,2
g3080keumlg,1
f31068xl7qc,1
g3102vjs8la,1
h3123pc3q9x,1
c3149yam39v,2
d3118j87l96,2
k3110v7c4bi,2
b0977h8h7cs,2
x0975i3b325,1
j3219roz16x,1
g3104g7tef5,2
x3111hq0tba,2
y3136wxkwfr,2
i3136pfl1r6,1
p09784eo4t8,1
o3115ge5g8k,1
r3104n7wzkx,1
i3103ppl3c8,2
v0034pkptgk,1
s3131jzvi3y,2
p3219mmgmr4,0
r3139993kin,2
l3133skj9qc,2
m314548vb1h,1
l0034lg8l8q,1
z0977tpih2v,1
g3146of8k90,2
i3132s6gwqt,2
w31217hi09r,2
s3078ab7in1,2
a0980g6vcdb,1
v32198mpm8k,0
g3126qj7gsx,1
l0034ngcki2,1
l0978oh8fof,1
g3106erxi83,2
n3100pl6fxl,1
m3129lhsmbn,2
z00343gcxal,1
f09794x8cmf,1
u0034vsi04r,1
n3079clbex2,2
f3219r75dtr,0
f3108b9xpgn,1
g3102w378j7,1
g3102ca6a08,2
n3127qtvzje,2
h3120a1s59c,1
p3110g2snuk,1
e0034xfyf3h,1
l31071zp08i,2
b31017wsvmt,2
p31512cs7sf,2
b3219b3u76o,0
d31370sdsn1,1
o3115wo2ele,1
u0034o5x9ey,1
y3104z598qb,2
z3113nntskz,2
s3100dqny1q,2
x0975v3ef4r,1
m3121p3tlly,2
z3111lh050k,1
s3100gya7hg,2
x3219vz181w,0
y0976ozg6rt,1
p0975nvkxmw,1
t31071rlcnb,2
l3079vdhtax,1
e0977zqiisk,2
k3134t0b0ei,1
c3128cptllp,1
z3107w38z4n,1
z3105xfiijf,2
s3104h5cttc,2
s1437hv5zrh,0
n0975j14u7r,1
k3080fp04ig,2
t31198x8ov4,2
x09783oq92i,0
g0034js4qaf,1
a0034nhs25l,1
b09768toduj,2
i3117jhpx4u,1
x3121dz54vf,2
b0034lq500s,1
e3219r09xkx,0
l3138yu4ni1,2
h0976dw3ay7,1
e3140jk4w2w,1
u3080oh2tg0,1
r00347z6bx5,1
i3148u4li4p,2
q31185gzplz,2
r310063osif,2
f3120fqmvos,2
a09760cew5u,1
d32099ni0mb,1
p3219sviuz9,0
x0034qwqmo8,1
l3125h61vv6,2
r0034ocl5ah,1
k31373moi59,1
k3100hsajsv,2
r00349w90kh,1
p3114l4cbgp,2
r3124qeouth,2
f31322z38v8,2
b3110tr12of,0
q3219awc6oc,0
v3106bk2xg7,2
c3123e7yxg3,1
c31003kxn2f,1
v3105daf5d5,0
w310809ezba,2
u0978j2yxc9,1
i31242k3aly,1
j3082z4p1z7,2
t3081eed02g,0
c3105nt991v,2
g32198oyxqr,0
f0979sjlsk0,2
y3123dpdpeo,1
l0034da3o1h,1
y00343ezr3m,1
h3110cbwchr,2
b3131k2dpgq,1
n3107ueokdv,1
q09756ywuj9,1
q3102f8nz4f,1
y3116ogemmu,2
l3219fayvb1,0
z3079967hx0,2
q310906q3ge,1
b0034wshlmx,1
c3103lhvk4c,1
z3146pxdzvb,2
o3117w4gefu,2
e0975qfghae,1
a31132s6oiv,2
e3078vfnl3x,1
o0976f9r29u,2
w0035qke0gk,0
e0975x7xnq4,2
q0034gmd89k,1
r310617b0ah,1
s0975sf9tjy,2
i09802z04n8,1
a3113vp7c7u,1
o31013cmfbq,2
g0034v4g3pg,1
o0979nw5gy4,2
l0034e3azop,1
j3219x6uzs0,0
v3113mcwbk7,1
v31108bhbxo,2
b3106oh4vwg,1
v3111gga2jw,2
r3119kbankz,2
z0975iuj5im,2
t0976sfqfcv,2
t3104nbzopr,1
w3112hycnjt,1
f3104stb94o,2
l1437m23ipl,0
b3141uqvx2p,2
s3102ccqugt,2
b0976djc5ac,2
l0034x1hgte,1
i3130px0k1w,2
u0034fmum5g,1
v3103oyt5g1,2
n003473kxig,1
n0034jappjo,1
k3110d2xadi,1
i32193kca4e,1
t3079avte72,1
s09764nsxhs,2
w0977y0q2vh,2
q3100tp5hoj,1
h0977t360t0,2
k0034kzuv79,1
v3081dmm237,0
k31142mcguv,1
k3104fxx1ef,1
v3105hvht2u,2
u3219z3kbki,1
s3102kiw8x8,1
h3107bodc2k,2
p3078ix14av,1
z0977udz36i,1
e3081y2bj9e,1
z0976nsarly,2
z0034aogyzk,1
v0034rhummg,1
m310923vrq4,1
m31246wvnj9,2
b3219dn3ahx,0
b3113bsoa4j,2
p0034i6esvq,1
o3115n8sn8g,1
b3146m3y2fz,1
r0975os8wrs,1
l3123tipgj6,1
v313693gdi4,1
t3123zlhwsm,1
x3117c1iv2n,1
g3107bh35yj,1
j3219wev7qe,2
z31153f9fqx,1
h32192jbf2t,0
o31164sah6q,2
n0975gz45q7,2
x3102q4wo1x,1
m31065vjdyg,1
q3140x64bfx,2
e0977jalwmq,2
v0034kzlc99,2
m3081talxyy,1
y3082sjtuux,1
l3153i0hwgw,2
y3219kyogmn,0
d313319jd4g,1
g3130othe8q,2
v3100lcuqbz,1
x3115h8ffy0,2
j0034rt7n7e,2
t3100lel42y,2
p3127h4624r,1
v3101bs6yig,1
p31396o87yg,1
y3112kgn5ly,1
d3219gqf763,1
s0034nalxjo,1
t30806q0l3s,2
y3080mazypp,1
o3105zhin0t,1
u3152tq7yd0,2
j3112wszz4s,1
j30814psdjw,1
m3116lkxwsz,1
q3219x4sazm,0
j3105658w0l,2
y09803n05aj,1
r0034jhnbz4,1
y3080qrwjr8,1
h31021v4dn1,1
v31069un85x,2
o3147qslhg5,2
y31375ko9zf,2
y3114nlgt3f,1
f0976xtp7qn,1
l321989ewpc,0
k0977e8xiin,1
u0976tv7wx0,1
g3144s4l5we,2
p00346kojmv,1
h3132yvuabj,2
e0979l607uw,2
b3130jmufmi,2
b3123nvergj,2
s31111a8fys,2
k31003tnb26,2
x0035o61jl9,0
h0974vhk4vu,1
q3146m7zywm,0
z09782frjhc,1
z3113bi9esv,1
x3112ovwifn,1
p3100fj4hj6,2
v09759mut73,2
x3103b2zl91,2
q0977bpgdyg,2
b31239gncjc,2
i0035ttx8jx,0
r3108et90nf,2
y31048kxz25,1
h3100hal1tc,1
j3138vdy7qq,2
z3113rtuo7d,2
f0976oy8buf,1
l0034ovsufz,1
i3108gke38t,1
p313569sj3i,1
z3129f7vwz6,2
d3219f0e5qx,1
i3106r8w7mv,2
p0980bdl9ch,2
q0975sp10gm,2
x31116l4z5g,1
z00349s48ax,1
f3082mdv0ab,1
t3079cxy3jy,1
n31004690tn,1
h3121bvcfk5,2
l3114k8ec5h,2
b3219kmwq2b,0
g3109mrya1z,2
h0976j3ewwm,2
n3116uiy591,2
x0979hvi6i7,2
v0034w17jge,1
a3126cqcsqr,1
w09804uuio8,1
b3081eqdoci,1
n3079fxv8z0,1
r3151o6r44c,1
b3219pnat0y,0
k3080pqfc0w,2
o3136f2w2p0,2
f3152flpu4w,1
t0980iu2gn1,2
u0034swuo2e,1
u0034cicumz,2
v3140v2hcfi,1
a31172a6v3y,2
e3139lhst7s,2
s30816zt41b,2
z3208li91cf,1
u0035xfqhi1,0
j0978yxtxbp,2
q3100uu6ipt,2
s3082zsu11r,2
v3105erzgpq,1
t31156g3t2o,2
z0979tx9mmr,2
j3101v23t5k,1
m3106alr84m,1
n3120d6vc38,2
b3102dbdeky,2
u3219g07q0g,0
y0034mnnggv,2
r3080dqiy7k,2
e3103cjak39,2
k3112f8wqux,1
z3081n10hsl,2
h3150uog82h,1
e3112cm3zlv,1
e3130h57jem,1
m3140k5z1pq,1
d31094yciex,2
x3219e42cmc,0
g31032d6c18,2
g3108cipcgk,1
z0034sd59tl,1
v0034b2qu5l,1
e3144yfx6t1,2
p09763thro1,2
t3112aqfae2,1
o31071pb8n3,1
q3082t3t58y,2
s3079v7rthv,1
k3219n5k68d,0
g3082gglor6,1
c0034g0do3z,1
p3112fhwz9q,1
o0978z7cwhs,1
y3103fmqfue,2
b3080ca0r6l,0
q3117opfyi6,1
d3125sukswr,1
q310340dgw8,2
o3111gf86on,1
o32198zua0b,0
t3108qqvrtw,2
h0034ydvvj5,1
g311124ntoz,1
a0975tomgte,2
g31020i1hxp,2
j30819dpjp1,1
y3107dwixyk,1
u31214rz97k,2
f0034zkqyjj,1
r3119pa3i57,1
e3219hwguro,0
y3107xn2wyy,2
x3081egypmr,2
d31518d3tfx,2
e0034phrc00,1
l0979a6w5ym,2
w3108k0juoz,1
t31355sf7js,2
t3106upbhm4,1
h0034nzo2id,1
p3140xlypov,2
v3219377li5,0
t3106jnt0yz,2
g3141finejq,1
n3133vt8oyv,1
d003414erf6,2
o31222zbrn9,1
j31428kqtzm,2
